Equipment Name,Type,Flowrate,Pressure,Temperature
Reactor-001,Reactor,150.5,12.3,185.0
Pump-A01,Pump,85.2,8.5,45.0
Heat-Exchanger-01,Heat Exchanger,220.0,6.2,120.5
Distillation-Col-01,Distillation Column,95.8,4.1,98.0
Compressor-01,Compressor,180.0,15.8,75.0
Reactor-002,Reactor,145.0,11.8,178.5
Pump-B01,Pump,92.0,9.2,42.0
Heat-Exchanger-02,Heat Exchanger,210.5,5.9,115.0
Storage-Tank-01,Storage Tank,0.0,1.0,25.0
Valve-Control-01,Valve,120.0,10.5,55.0
Separator-01,Separator,165.0,7.8,88.0
Reactor-003,Reactor,155.2,12.0,190.0
Pump-C01,Pump,78.5,7.8,48.0
Condenser-01,Condenser,195.0,3.5,35.0
Boiler-01,Boiler,0.0,18.5,250.0
Heat-Exchanger-03,Heat Exchanger,205.0,6.0,125.0
Filter-01,Filter,60.0,2.5,28.0
Mixer-01,Mixer,110.0,4.5,65.0
Dryer-01,Dryer,45.0,1.2,180.0
Centrifuge-01,Centrifuge,55.0,3.0,30.0
